time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-11 00:00:00+00:00,18,12,2,2
2026-03-12 00:00:00+00:00,9,4,0,0
2026-03-13 00:00:00+00:00,15,6,0,0
2026-03-14 00:00:00+00:00,14,9,0,0
2026-03-15 00:00:00+00:00,11,6,0,0
2026-03-16 00:00:00+00:00,9,4,0,0
2026-03-17 00:00:00+00:00,7,3,4,3
2026-03-18 00:00:00+00:00,10,4,2,2
2026-03-19 00:00:00+00:00,2,2,0,0
2026-03-20 00:00:00+00:00,6,2,1,1
2026-03-21 00:00:00+00:00,4,3,1,1
2026-03-22 00:00:00+00:00,16,6,1,1
2026-03-23 00:00:00+00:00,17,8,0,0
2026-03-24 00:00:00+00:00,13,8,4,4
