time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-28 00:00:00+00:00,9,3,0,0
2026-04-29 00:00:00+00:00,48,13,0,0
2026-04-30 00:00:00+00:00,28,8,0,0
2026-05-01 00:00:00+00:00,29,9,0,0
2026-05-02 00:00:00+00:00,26,7,0,0
2026-05-03 00:00:00+00:00,18,7,0,0
2026-05-04 00:00:00+00:00,33,10,0,0
2026-05-05 00:00:00+00:00,23,8,2,2
2026-05-06 00:00:00+00:00,33,11,1,1
2026-05-07 00:00:00+00:00,11,5,0,0
2026-05-08 00:00:00+00:00,18,8,1,1
2026-05-09 00:00:00+00:00,11,6,0,0
2026-05-10 00:00:00+00:00,32,11,1,1
2026-05-11 00:00:00+00:00,23,9,0,0
