time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,20,9,0,0
2026-06-02 00:00:00+00:00,13,4,2,2
2026-06-03 00:00:00+00:00,21,11,0,0
2026-06-04 00:00:00+00:00,11,6,1,1
2026-06-05 00:00:00+00:00,26,11,2,2
2026-06-06 00:00:00+00:00,20,10,0,0
2026-06-07 00:00:00+00:00,16,6,0,0
2026-06-08 00:00:00+00:00,11,6,3,3
2026-06-09 00:00:00+00:00,17,8,0,0
2026-06-10 00:00:00+00:00,24,11,0,0
2026-06-11 00:00:00+00:00,18,13,1,1
2026-06-12 00:00:00+00:00,22,8,5,3
2026-06-13 00:00:00+00:00,23,7,0,0
2026-06-14 00:00:00+00:00,22,8,0,0
