time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-06 00:00:00+00:00,10,5,0,0
2026-07-07 00:00:00+00:00,21,6,0,0
2026-07-08 00:00:00+00:00,10,4,0,0
2026-07-09 00:00:00+00:00,19,6,1,1
2026-07-10 00:00:00+00:00,12,4,0,0
2026-07-11 00:00:00+00:00,26,8,0,0
2026-07-12 00:00:00+00:00,13,4,0,0
2026-07-13 00:00:00+00:00,3,3,0,0
2026-07-14 00:00:00+00:00,8,3,1,1
2026-07-15 00:00:00+00:00,14,5,0,0
2026-07-16 00:00:00+00:00,15,6,0,0
2026-07-17 00:00:00+00:00,1,1,0,0
2026-07-18 00:00:00+00:00,9,4,0,0
2026-07-19 00:00:00+00:00,1,1,0,0
