time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,56,18,0,0
2026-04-21 00:00:00+00:00,54,22,0,0
2026-04-22 00:00:00+00:00,77,28,2,1
2026-04-23 00:00:00+00:00,76,22,1,1
2026-04-24 00:00:00+00:00,69,28,15,1
2026-04-25 00:00:00+00:00,48,21,0,0
2026-04-26 00:00:00+00:00,39,9,1,1
2026-04-27 00:00:00+00:00,18,7,1,1
2026-04-28 00:00:00+00:00,9,3,0,0
2026-04-29 00:00:00+00:00,48,13,0,0
2026-04-30 00:00:00+00:00,28,8,0,0
2026-05-01 00:00:00+00:00,29,9,0,0
2026-05-02 00:00:00+00:00,26,7,0,0
2026-05-03 00:00:00+00:00,18,7,0,0
