time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,24,9,1,1
2026-04-15 00:00:00+00:00,8,3,1,1
2026-04-16 00:00:00+00:00,16,9,1,1
2026-04-17 00:00:00+00:00,33,11,0,0
2026-04-18 00:00:00+00:00,19,9,0,0
2026-04-19 00:00:00+00:00,20,11,1,1
2026-04-20 00:00:00+00:00,56,18,0,0
2026-04-21 00:00:00+00:00,54,22,0,0
2026-04-22 00:00:00+00:00,77,28,2,1
2026-04-23 00:00:00+00:00,76,22,1,1
2026-04-24 00:00:00+00:00,69,28,15,1
2026-04-25 00:00:00+00:00,48,21,0,0
2026-04-26 00:00:00+00:00,39,9,1,1
2026-04-27 00:00:00+00:00,18,7,1,1
