time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,0,0,22,1
2024-11-18 00:00:00+00:00,0,0,1,1
2024-11-19 00:00:00+00:00,0,0,13,2
2024-11-20 00:00:00+00:00,0,0,1,1
2024-11-21 00:00:00+00:00,0,0,1,1
2024-11-22 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,0,0,1,1
2024-11-28 00:00:00+00:00,1,1,1,1
2024-11-29 00:00:00+00:00,0,0,3,1
2024-11-30 00:00:00+00:00,2,1,0,0
2024-12-02 00:00:00+00:00,4,3,1,1
2024-12-03 00:00:00+00:00,2,1,4,2
2024-12-04 00:00:00+00:00,4,2,2,2
2024-12-05 00:00:00+00:00,3,2,1,1
2024-12-06 00:00:00+00:00,11,7,12,1
2024-12-07 00:00:00+00:00,2,1,0,0
2024-12-09 00:00:00+00:00,2,1,13,2
2024-12-10 00:00:00+00:00,1,1,0,0
2024-12-11 00:00:00+00:00,53,3,30,5
2024-12-12 00:00:00+00:00,121,3,29,4
2024-12-13 00:00:00+00:00,6,3,0,0
2024-12-16 00:00:00+00:00,3,2,0,0
2024-12-17 00:00:00+00:00,4,2,1,1
2024-12-18 00:00:00+00:00,0,0,2,2
2024-12-19 00:00:00+00:00,2,2,1,1
2024-12-20 00:00:00+00:00,1,1,1,1
2024-12-22 00:00:00+00:00,1,1,0,0
2024-12-23 00:00:00+00:00,1,1,1,1
2024-12-24 00:00:00+00:00,0,0,2,1
2024-12-26 00:00:00+00:00,1,1,0,0
2024-12-27 00:00:00+00:00,3,3,0,0
2024-12-28 00:00:00+00:00,3,2,0,0
2024-12-29 00:00:00+00:00,1,1,0,0
2024-12-30 00:00:00+00:00,2,1,1,1
2024-12-31 00:00:00+00:00,1,1,0,0
2025-01-01 00:00:00+00:00,1,1,0,0
2025-01-02 00:00:00+00:00,4,2,1,1
2025-01-03 00:00:00+00:00,2,2,0,0
2025-01-05 00:00:00+00:00,1,1,0,0
2025-01-06 00:00:00+00:00,0,0,1,1
2025-01-07 00:00:00+00:00,2,2,1,1
2025-01-08 00:00:00+00:00,0,0,1,1
2025-01-09 00:00:00+00:00,0,0,1,1
2025-01-10 00:00:00+00:00,10,2,27,4
2025-01-11 00:00:00+00:00,3,2,16,4
2025-01-12 00:00:00+00:00,1,1,1,1
2025-01-13 00:00:00+00:00,2,1,1,1
2025-01-14 00:00:00+00:00,10,2,17,1
2025-01-15 00:00:00+00:00,2,2,3,1
2025-01-17 00:00:00+00:00,1,1,0,0
2025-01-18 00:00:00+00:00,10,2,15,1
2025-01-19 00:00:00+00:00,2,1,0,0
2025-01-20 00:00:00+00:00,1,1,4,1
2025-01-21 00:00:00+00:00,3,3,0,0
2025-01-23 00:00:00+00:00,2,1,5,3
2025-01-24 00:00:00+00:00,0,0,2,2
2025-01-25 00:00:00+00:00,0,0,2,1
2025-01-26 00:00:00+00:00,3,1,2,2
2025-01-27 00:00:00+00:00,1,1,6,1
2025-01-28 00:00:00+00:00,2,1,3,2
2025-01-29 00:00:00+00:00,3,2,4,2
2025-01-30 00:00:00+00:00,4,2,2,2
2025-01-31 00:00:00+00:00,6,3,4,3
2025-02-01 00:00:00+00:00,6,3,1,1
2025-02-02 00:00:00+00:00,2,2,0,0
2025-02-03 00:00:00+00:00,5,2,3,1
2025-02-04 00:00:00+00:00,5,3,10,1
2025-02-05 00:00:00+00:00,5,3,7,1
2025-02-06 00:00:00+00:00,6,4,1,1
2025-02-07 00:00:00+00:00,6,4,0,0
2025-02-08 00:00:00+00:00,1,1,0,0
2025-02-09 00:00:00+00:00,1,1,0,0
2025-02-10 00:00:00+00:00,2,2,1,1
2025-02-11 00:00:00+00:00,4,3,4,1
2025-02-12 00:00:00+00:00,10,4,6,1
2025-02-13 00:00:00+00:00,3,2,9,2
